p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	color
5.20084086714507e-141	0.417605061295821	0.328	0.042	1.05228613264946e-136	ZNF462	TRUE
7.29454538650745e-132	0.354486600974697	0.27	0.028	1.47590536805205e-127	SPRY2	FALSE
3.04434180878641e-117	0.724369578090724	0.758	0.325	6.15961678171754e-113	TOX	TRUE
2.89496148996362e-115	0.381946761104776	0.398	0.082	5.85737558264339e-111	MAF	FALSE
2.26035004032888e-108	0.38152225951637	0.353	0.069	4.57336623659743e-104	MOXD1	FALSE
9.92528419843736e-104	0.314987874444786	0.331	0.061	2.00818275186983e-99	GUCY1B3	FALSE
4.10673493483866e-102	0.257792652658079	0.198	0.018	8.30915679365905e-98	ADAMTS1	FALSE
1.00813197418905e-100	0.184941460184853	0.154	0.008	2.0397534233767e-96	RP11-508N12.4	FALSE
2.05455153912395e-100	0.310991104168988	0.254	0.036	4.15697412910949e-96	GUCY1A3	FALSE
1.05661660902869e-99	0.443100795327606	0.349	0.075	2.13785238504775e-95	PRR5L	FALSE
1.83879602676766e-99	0.400900610041484	0.375	0.085	3.72043600095901e-95	GOLIM4	FALSE
4.56636785454201e-90	0.425337780744254	0.382	0.096	9.23913208009485e-86	MME	FALSE
2.70201420177094e-89	0.379932964278954	0.438	0.122	5.46698533444314e-85	TNFRSF21	FALSE
1.5539450746284e-85	0.348656088921689	0.297	0.062	3.14409706949563e-81	RHOBTB1	FALSE
2.08409630071447e-85	0.379710631565468	0.412	0.114	4.21675204523558e-81	MB21D2	FALSE
2.66829590789535e-83	0.355807246850914	0.27	0.052	5.39876311044466e-79	METRNL	FALSE
6.30780214009946e-81	0.274486332646635	0.191	0.025	1.27625760700632e-76	KLF4	FALSE
1.28768736476664e-80	0.180643531074304	0.162	0.016	2.60537784513235e-76	BMP4	FALSE
2.40970941338539e-80	0.347801384938405	0.335	0.083	4.87556505610265e-76	ADAM23	TRUE
1.22634445345817e-76	0.595320589165091	0.586	0.246	2.48126273268192e-72	GAS7	FALSE
8.14516567009797e-76	0.408731264072286	0.451	0.148	1.64801137003092e-71	CABLES1	FALSE
1.52338626518184e-75	0.40601647856056	0.479	0.165	3.08226743034241e-71	BCL11A	FALSE
1.25513662674474e-74	0.30501757573694	0.25	0.05	2.53951793689264e-70	DAPK1	FALSE
1.26915382683129e-73	0.43757058979505	0.479	0.169	2.56787893782776e-69	PALM2-AKAP2	FALSE
1.26915382683129e-73	0.43757058979505	0.479	0.169	2.56787893782776e-69	AKAP2	FALSE
2.22730611394919e-73	0.570722026047885	0.747	0.38	4.5065084603534e-69	AUTS2	FALSE
5.64020525107953e-73	0.422909015550516	0.4	0.124	1.14118272845092e-68	FGD4	FALSE
2.42590608658514e-71	0.517778502446655	0.696	0.331	4.90833578498772e-67	CHN2	FALSE
4.43163720725255e-70	0.296309054136204	0.324	0.085	8.96653156143408e-66	DAB2IP	FALSE
7.31749633178337e-69	0.301455745409989	0.343	0.096	1.48054903280973e-64	C1orf21	FALSE
7.48536893353353e-66	0.34303312246326	0.326	0.094	1.51451469632184e-61	MPPED2	FALSE
1.04473520710472e-65	0.535350449408681	0.823	0.512	2.11381274453499e-61	TRIO	FALSE
1.07442224438694e-64	0.49992132776139	0.577	0.261	2.1738785270681e-60	TMEM241	FALSE
1.61240531577179e-64	0.257478606118525	0.249	0.056	3.26237967540107e-60	ST3GAL6	FALSE
4.7839299809602e-63	0.484243174586533	0.517	0.217	9.67932553047678e-59	ZEB2	FALSE
2.39279256782321e-62	0.308863624389738	0.336	0.1	4.84133720247671e-58	KIT	FALSE
2.39430163368715e-62	0.418726233417529	0.491	0.195	4.84439049543921e-58	WDR86	FALSE
2.81360264644818e-62	0.320601518546087	0.355	0.11	5.69276223455861e-58	IL12RB2	FALSE
1.93775453854264e-60	0.401195964968095	0.495	0.197	3.92065875783331e-56	PSD3	FALSE
6.14223762688237e-60	0.205469737204948	0.166	0.026	1.24275893904711e-55	JAG1	FALSE
1.49091346290721e-59	0.554456819681651	0.775	0.477	3.01656520950016e-55	VAV3	FALSE
3.45674529931766e-59	0.352252040509679	0.405	0.145	6.99403276410942e-55	CRIM1	FALSE
2.02188386419696e-57	0.502570862496189	0.784	0.473	4.0908776224297e-53	CSMD1	FALSE
2.46024410394282e-57	0.186796017714007	0.174	0.03	4.9778118955075e-53	SH3GL3	FALSE
6.18268650833058e-57	0.26706525819818	0.349	0.11	1.25094296123053e-52	RGS1	FALSE
1.47959302776628e-56	0.374525245659693	0.491	0.201	2.99366057307951e-52	SH3TC1	FALSE
5.99784491342079e-56	0.275984883806125	0.382	0.131	1.21354396133243e-51	FRY	FALSE
8.16088512029514e-56	0.273709722173519	0.329	0.104	1.65119188638932e-51	DOCK1	FALSE
1.32390746775571e-55	0.143700969188449	0.126	0.015	2.67866197951012e-51	KCNJ2	FALSE
1.48165677259984e-55	0.312266361214929	0.383	0.135	2.99783614800127e-51	PLEKHG1	FALSE
5.32374072242764e-55	0.385408038986605	0.593	0.273	1.07715246036878e-50	TCF4	FALSE
2.2356814867265e-54	0.46894527005753	0.773	0.442	4.52345435209372e-50	UST	FALSE
1.28364377125111e-53	0.261931383572615	0.254	0.068	2.59719644237236e-49	GAB1	FALSE
4.62836439092941e-53	0.430449508370822	0.483	0.21	9.36456967216748e-49	PLCG2	FALSE
1.96474784678982e-52	0.421835008688394	0.686	0.356	3.97527431840984e-48	PLCB1	FALSE
