Day	donor	Cell_type	expansion	cd8_cd4_ratio	experiment
-2	pediatric	PBMC	1	0.31825273	exp1
0	pediatric	PBMC	0.694855246	0.264227642	exp1
3	pediatric	PBMC	2.345011986		exp1
5	pediatric	PBMC	8.007375991	2.312741313	exp1
7	pediatric	PBMC	11.83389268		exp1
10	pediatric	PBMC	51.43278628	9.356725146	exp1
-2	pediatric	BMMNC	1	0.586879433	exp1
0	pediatric	BMMNC	0.898876404	0.537288136	exp1
3	pediatric	BMMNC	1.551571405	NA	exp1
5	pediatric	BMMNC	6.608695652	1.397759104	exp1
7	pediatric	BMMNC	13.69027846	NA	exp1
10	pediatric	BMMNC	43.34929165	2.868644068	exp1
-2	adult	PBMC	1	0.346320346	exp1
0	adult	PBMC	1.212121212	0.271349862	exp1
3	adult	PBMC	2.679425837	NA	exp1
5	adult	PBMC	7.594258373	0.59348199	exp1
7	adult	PBMC	16.79106858	NA	exp1
10	adult	PBMC	45.21212121	1.679190751	exp1
11	pediatric	PBMC	52.8469113	NA	exp1
15	pediatric	PBMC	48.48976581	NA	exp1
11	adult	PBMC	47.46411483	NA	exp1
15	adult	PBMC	45.57575758	NA	exp1
11	pediatric	BMMNC	48.41947566	NA	exp1
15	pediatric	BMMNC	53.07278945	NA	exp1
-2	Do21	PBMC	1	0.669642857	exp2
0	Do21	PBMC	0.718253968	0.420574887	exp2
2	Do21	PBMC	1.363408521	NA	exp2
3	Do21	PBMC	2.510827333	NA	exp2
4	Do21	PBMC	4.27523836	NA	exp2
5	Do21	PBMC	9.533211796	1.033039648	exp2
7	Do21	PBMC	14.85434114	NA	exp2
9	Do21	PBMC	37.63099755	NA	exp2
11	Do21	PBMC	52.16434832	2.851239669	exp2
15	Do21	PBMC	64.31864148	NA	exp2
-2	Do23	PBMC	1	0.577441077	exp2
0	Do23	PBMC	0.889839572	0.452599388	exp2
2	Do23	PBMC	1.895516248	NA	exp2
3	Do23	PBMC	3.523077847	NA	exp2
4	Do23	PBMC	8.19970512	NA	exp2
5	Do23	PBMC	15.14988054	1.730878187	exp2
7	Do23	PBMC	23.65234082	NA	exp2
9	Do23	PBMC	71.58775156	NA	exp2
11	Do23	PBMC	118.4900716	4.74251497	exp2
15	Do23	PBMC	217.0738111	NA	exp2
-2	DoCL	PBMC	1	0.465189873	exp2
0	DoCL	PBMC	0.74157544	0.561666667	exp2
2	DoCL	PBMC	1.212520523	NA	exp2
3	DoCL	PBMC	3.755001631	NA	exp2
4	DoCL	PBMC	7.025867832	NA	exp2
5	DoCL	PBMC	12.07601204	1.21627907	exp2
7	DoCL	PBMC	27.11347988	NA	exp2
9	DoCL	PBMC	35.15714557	NA	exp2
11	DoCL	PBMC	88.37779008	3.502415459	exp2
15	DoCL	PBMC	146.3536204	NA	exp2
-2	DoPS	PBMC	1	0.372492837	exp2
0	DoPS	PBMC	0.556075808	0.444274809	exp2
2	DoPS	PBMC	0.683523651	NA	exp2
3	DoPS	PBMC	0.935392332	NA	exp2
4	DoPS	PBMC	1.416466235	NA	exp2
5	DoPS	PBMC	1.290073863	1.080717489	exp2
7	DoPS	PBMC	2.038866402	NA	exp2
9	DoPS	PBMC	2.917052835	NA	exp2
11	DoPS	PBMC	4.374814528	1.027659574	exp2
15	DoPS	PBMC	10.49955487	NA	exp2
