position	coverage	clip_count	SA
16449	817172	738190	49561
16392	1029324	54499	1136600
16444	912249	20224	307
16447	860492	19899	687
16460	53621	16268	3455
16464	35593	14998	4520
16425	1298096	11501	1150
16448	833696	9004	364
16569	7999	7992	2603
16446	874339	7970	205
16433	1029568	7902	94
16436	991768	7476	46
16445	887547	7222	107
16435	1005113	7035	39
16440	946183	6626	53
16427	1103762	6257	467
16426	1116396	5971	11087
16258	16189	5959	13502
16429	1077969	5540	210
16434	1016365	5138	58
16453	61056	4355	364
16533	14706	4233	1655
16431	1054755	3806	152
16294	24258	3552	9125
16442	928772	3518	48
16439	956965	3380	46
16375	39384	2939	8528
16380	53011	2728	12893
16443	919601	2410	35
16432	1042333	2314	78
16428	1092060	2306	286
16351	28395	2161	3663
16492	19265	2119	728
16437	976974	2043	25
16224	8449	1878	3342
16441	935330	1827	25
16430	1063899	1736	91
16423	1321778	1613	630
3493	6415	1238	2
16452	65288	1056	102
16438	966689	1022	22
16538	10436	1018	441
16298	26883	997	1890
16357	30871	955	1037
16457	54996	949	208
16295	25458	879	1074
16461	37358	857	163
41	2154	852	4
16530	15593	799	166
33	2971	766	35
16279	18152	759	77
16424	1305292	755	169
16353	29330	754	1430
16450	72035	750	169
16421	1339098	679	72
16368	34899	647	788
16397	1129980	602	18428
16393	1065135	593	30375
16454	56438	578	92
1	2466	573	1081
8578	7424	543	0
16367	34012	511	1195
16478	20184	489	137
16490	19806	487	324
16422	1333320	484	75
16394	1079573	480	4384
2488	7528	446	1
16479	19774	436	83
16456	55385	434	71
16465	20681	434	178
16455	55809	430	87
16540	9430	420	153
16358	31382	397	758
16518	16477	382	442
16372	33391	362	648
315	1750	355	4
16451	67709	335	52
16528	15941	328	84
16313	27047	324	304
16459	53891	299	55
16379	42372	277	2222
16366	32839	277	742
16557	8700	266	30
16399	1150426	257	3567
16326	27096	245	753
16462	36481	228	60
16487	19956	221	86
16395	1093035	213	3265
2702	7642	211	1
16509	16917	207	549
16365	32172	205	544
16458	54079	202	73
16184	1100	196	300
16502	17172	196	626
723	6939	185	102
16373	33632	185	330
16356	29470	184	213
16463	36016	181	47
16391	63233	169	2634
16071	5646	163	405
16188	899	159	0
16396	1100068	158	2233
16378	40622	158	799
15685	8955	151	145
16282	18439	143	247
2703	7437	141	0
10307	9691	140	0
16480	19404	135	42
16495	17214	135	86
16355	29205	131	443
16350	25565	130	407
2705	7244	126	0
16363	31633	117	245
3524	6959	116	0
16254	8919	112	0
16467	20305	111	64
8558	6558	111	0
11176	9986	109	0
16324	26464	109	19
16362	31495	108	159
16469	20258	107	65
1300	8847	105	65
2701	7763	101	0
16474	20164	100	41
16360	31510	98	846
59	1243	97	4
2704	7299	96	0
16383	53676	93	227
15160	10009	93	85
16261	16593	93	102
2480	7117	93	0
3484	4938	92	0
16382	53713	91	828
16486	20001	90	56
16565	8313	90	16
16412	1293153	89	237
16259	16350	89	163
16470	20158	85	39
3512	6733	84	0
16531	14821	84	34
309	1647	83	14
16299	26962	81	124
8577	6802	81	0
3108	8354	80	0
3497	6414	80	0
16568	8086	78	19
16308	27094	74	50
16374	33742	73	205
16511	16703	73	81
16286	18777	72	49
16420	1339353	71	61
15063	9807	71	36
16398	1137824	70	1874
341	2079	69	5
151	1598	68	35
311	1684	68	2
16303	27020	67	12
1146	7321	66	1
16505	17043	66	91
16273	13037	66	2
16320	26843	65	11
16415	1313970	65	730
16268	12551	64	114
16390	55300	64	723
1510	8993	63	34
798	6420	62	30
3522	6821	62	0
747	6629	62	19
16296	25594	61	41
16361	31477	61	142
6420	6885	61	4
16410	1271985	60	1165
16352	28367	60	162
1692	9019	60	32
16260	16447	59	111
16359	31396	59	131
3489	5013	59	0
8574	6646	58	0
16413	1299720	58	359
16477	20143	57	13
16403	1208608	57	6521
16302	27076	57	9
1134	7147	57	0
16567	8151	57	23
15536	9417	56	45
16417	1326520	55	209
16346	25813	55	55
2624	9046	55	30
16297	25681	55	50
2627	9006	55	18
407	3353	54	10
16407	1243951	53	2512
1063	7731	52	37
16190	779	52	48
16310	27022	52	11
16483	19934	52	18
16411	1281004	51	352
16290	19053	51	23
14639	9812	51	40
2487	7059	51	0
16364	31694	51	82
15991	7964	50	58
16278	17276	50	12
8579	7511	50	0
11282	9605	49	36
11347	9835	49	41
16387	54265	49	435
16381	53074	49	194
16341	26137	49	71
16499	17213	48	40
15807	9132	48	36
16400	1168138	48	4247
16494	17219	48	26
16306	27026	47	95
16318	26912	47	14
16508	16958	47	102
16566	8206	47	16
10291	9029	46	0
2479	7003	46	0
15257	9196	46	48
1525	8829	46	34
16377	39948	46	277
8568	6529	45	0
16416	1321159	45	193
15817	9326	45	35
16323	26563	45	12
16322	26629	44	4
3951	9302	44	23
16386	54061	44	213
16376	39699	44	200
598	5125	43	23
16280	18253	43	50
16408	1252375	43	274
16515	16595	43	37
16472	20149	43	16
16388	54738	42	260
2457	7755	42	0
16369	32904	42	73
3506	6571	41	0
16371	32835	41	114
15396	9023	41	41
16317	26942	41	17
16300	27023	40	27
15211	9723	40	30
16476	20148	40	16
16389	54869	40	536
16291	19125	40	60
16182	901	39	2
16287	18880	39	24
45	1318	39	10
10297	9215	39	0
218	1476	39	39
16304	26963	39	10
16309	27069	39	12
16314	27022	38	7
16418	1331176	38	116
1543	8760	38	17
16319	26852	38	20
2490	7630	37	0
16262	16698	37	77
16354	29253	37	76
16347	25625	37	76
224	1424	36	0
16336	26606	36	38
16284	18612	36	12
16305	26998	36	20
16333	26841	36	38
16466	20281	36	26
16384	53766	36	219
16344	25955	35	88
16488	19762	35	20
16553	8791	35	10
10305	9502	35	0
16293	19308	35	63
15148	9766	35	22
16337	26531	35	97
16335	26698	35	57
1145	7254	35	0
16301	27074	35	15
14426	7403	35	33
16266	12316	34	16
16330	26681	34	95
16516	16552	34	24
8547	6569	33	0
14539	8068	33	23
16484	19931	33	19
16307	27042	33	14
16312	26975	33	34
16343	25967	32	68
8572	6578	32	0
16281	18285	31	23
3500	6440	31	0
16332	26898	31	1004
16534	10468	31	4
16519	16098	31	86
2728	7466	31	0
3328	9186	30	17
3478	5002	30	1
16550	8852	30	24
16532	14745	30	13
16228	8651	30	30
16481	19369	30	14
16327	26908	29	25
16473	20154	29	14
16517	16509	29	21
16512	16642	29	31
8576	6691	29	0
8571	6569	29	0
100	1356	28	10
16564	8348	28	8
491	4063	28	16
303	1612	28	2
16283	18556	28	22
16405	1221994	28	230
16181	942	28	23
6222	7559	28	0
16489	19755	28	21
2711	7218	27	0
16370	32874	27	59
71	1167	27	0
16340	26213	27	55
16345	25878	27	98
16338	26373	27	42
16471	20142	26	8
1443	8876	26	16
16504	17087	26	12
16263	16878	26	35
16315	26981	25	9
8551	6564	25	0
15512	9208	25	9
2715	7248	25	0
16334	26797	24	49
16321	26665	24	9
6372	6623	24	0
16328	26830	24	39
14099	8580	24	21
2723	7342	24	0
16385	53887	24	237
16402	1188529	24	522
16267	12412	24	16
1133	7101	24	0
56	1286	23	1
3492	4983	23	0
16468	20221	23	39
57	1263	23	1
16409	1260284	23	147
16493	17204	23	31
