position	coverage	clip_count	SA
16569	630863	628517	209130
1	502598	432097	238982
573	759645	193481	176
309	707503	121221	4
315	622792	110377	1
3589	1133401	97058	2
10934	1078998	87633	49
3604	1193753	64369	3
560	947742	62762	0
10935	991294	53253	14
13760	1144331	50761	22
13761	1090930	50496	32
302	746704	38256	23
568	762943	36763	6
563	873915	28926	14
3598	1139566	22500	0
10952	843418	22056	2
566	754793	20164	0
3610	1090140	19851	1
299	776313	16861	0
301	758238	16821	0
3621	1127589	16551	0
303	712473	16053	164
7982	1332058	16029	8154
311	601622	15657	5
3630	1173362	15603	4
3571	1069995	15138	0
15496	1151769	13393	8729
10940	996765	13355	22
10936	973831	13090	5
13767	1070624	12132	5
13786	1057977	11251	0
300	764313	11181	0
455	985315	11117	6
564	841113	10806	0
565	804140	10759	0
13762	1067085	10369	12
10961	960160	10240	2
3588	1141855	9982	0
13798	1148981	9859	12
3577	1187051	9506	6
304	710095	8592	0
13807	1093067	8519	4
13759	1154154	8369	4
525	1008755	7732	1
503	1014360	7514	0
3596	1127598	7504	0
561	884796	7499	0
10955	931341	7089	3
465	982184	7025	1
567	720242	6795	1
498	954753	6638	0
10988	1142383	6425	0
13753	1186105	6131	0
3576	1188993	6113	0
572	769766	6073	1
553	984739	5832	0
13788	1055770	5785	11
296	785770	5715	0
13828	1148557	5640	0
3584	1116458	5463	0
305	704145	5263	0
569	769818	5123	0
562	878710	5115	0
10941	989535	5086	5
13817	1111238	5063	0
10958	948737	5048	1
3582	1134122	4949	0
8068	1261416	4906	0
448	1005856	4887	8
8141	1215579	4760	0
11008	1187197	4593	3
438	1054157	4550	0
10982	1073356	4544	1
571	774650	4543	0
544	1027663	4486	0
10956	918964	4474	0
10973	1055401	4356	1
11039	970079	4313	0
570	770076	4282	0
10937	959811	4215	4
10946	932717	4190	5
3606	1072859	4156	0
13763	1052070	4135	3
502	945203	4121	0
13885	1194703	4053	0
556	966362	4027	0
13792	1141796	4026	6
10969	935400	4012	4
10965	895338	3967	1
13780	1059715	3910	2
13846	1099961	3733	3
13811	1116480	3601	1
8118	1394069	3560	0
13813	1102627	3543	0
516	1136643	3523	0
537	1065882	3468	1
13793	1125020	3438	3
13789	1034991	3171	1
13768	1054850	3159	1
522	1088829	3154	0
3565	1116848	2863	1
306	701020	2858	0
10983	1074362	2777	0
11024	1094880	2777	0
441	1084124	2762	1
8121	1397126	2751	1
3595	1040216	2725	0
8078	1283982	2717	0
604	859944	2700	0
649	1020132	2679	0
10947	905495	2672	1
473	1104846	2656	5
13851	1168431	2649	2
549	972063	2628	1
8143	1233085	2571	0
3602	1196861	2551	0
550	972398	2530	0
538	1042170	2470	0
5763	1265542	2468	104
10938	970595	2449	0
13842	1127960	2401	1
470	976065	2383	0
511	1071939	2362	0
3637	1179142	2349	0
10976	1021843	2347	2
8147	1242967	2337	0
13750	1209077	2334	0
8117	1264289	2333	0
3590	1031494	2323	6
11003	1099219	2313	0
3600	1111935	2301	1
3613	1044339	2284	1
520	1108163	2268	0
13781	1042453	2263	6
13754	1186518	2255	0
11015	1146193	2219	0
13867	1089918	2199	0
308	720256	2174	0
13847	1074750	2149	0
10960	946873	2136	3
10977	1015664	2132	3
13778	1069478	2119	5
10991	1096848	2114	3
13751	1206517	2078	2
592	703744	2055	0
10990	1111523	2049	9
10971	956666	2028	7
13818	1089870	2022	0
307	715198	2021	0
10932	1131197	2016	0
10962	862112	1995	2
11014	1207504	1981	2
3583	1107427	1972	0
13836	1007604	1957	0
13782	1046227	1951	3
651	1017569	1941	2
13855	1170110	1928	0
506	1019936	1928	0
527	1019827	1923	0
3652	1182811	1919	0
8077	1163460	1917	2
13840	1134893	1913	0
3632	1156660	1911	0
11045	957146	1895	0
3622	1114248	1895	0
294	780037	1890	0
3627	1089598	1875	0
13860	1129503	1875	0
524	1068416	1851	0
459	933656	1845	0
13835	1055864	1818	0
14855	1361992	1808	0
3624	1086786	1803	2
13777	1062185	1803	1
13878	1114414	1786	0
10605	1195824	1786	17
10942	992840	1783	1
10752	1093185	1782	0
10943	989539	1772	3
8139	1249770	1761	0
3619	1140579	1743	0
13755	1164851	1731	1
10948	860666	1720	0
8075	1239971	1704	0
514	1088354	1682	1
3594	1058032	1675	0
3620	1141499	1662	0
13797	1130694	1645	0
13787	1040936	1643	1
13764	1050598	1642	3
10951	841321	1634	1
10964	860992	1619	3
456	963857	1610	1
534	1065631	1606	0
10959	946647	1605	3
13756	1165635	1593	2
5446	1181332	1580	2
10939	996012	1578	0
13820	1171735	1572	0
5593	1060381	1567	0
10966	883085	1565	1
13829	1041556	1540	0
3634	1171314	1536	0
545	1034246	1531	0
3563	1158307	1520	0
13771	1059337	1520	2
11038	960259	1513	0
3655	1236416	1507	0
476	1007402	1507	0
439	1075940	1499	0
451	1021996	1492	1
13779	1032667	1489	2
11009	1178712	1486	7
11000	1108106	1485	0
10996	1107054	1484	0
609	855735	1483	0
13812	1110353	1475	1
1698	1276856	1470	0
11006	1153033	1464	0
295	782940	1462	0
16105	767933	1461	2
