position	coverage	clip_count	SA
16454	316212	167083	35602
16375	340465	108815	351127
16485	122141	45034	18179
16569	28861	28783	8590
16502	68872	17303	16707
16528	52752	16872	5995
16313	64119	15085	16266
16380	392371	12826	20323
16393	474075	12019	61212
16470	137883	9762	3459
16425	446811	7104	3822
16450	338154	6106	3355
16249	21884	5959	4377
16460	149197	5648	1736
16483	128428	5432	1890
16495	75516	4851	2780
1	11550	4428	10940
16451	329024	4284	789
16306	43838	4225	8896
16449	346133	3480	456
16461	143820	3334	1036
16276	35167	2538	3491
59	11099	2437	201
3493	10632	2298	47
16426	392531	2137	9286
16559	33041	1934	668
16315	67025	1883	5103
16427	392654	1754	1562
16480	127586	1712	585
16374	63413	1563	6435
16436	374277	1493	237
16338	72785	1419	3781
315	4410	1300	14
16537	36328	1238	495
16433	380258	1188	149
16464	140081	1134	569
309	4923	1091	519
16435	375662	1067	162
16423	453035	1057	762
16412	524377	1040	630
16335	70694	1028	2056
16189	10615	1023	1496
16447	353317	935	155
16288	37253	894	566
16478	128345	891	466
16330	69192	880	1668
16455	148611	860	423
16518	52052	807	576
16429	387988	756	548
16489	76554	745	376
8578	11250	725	7
16386	404969	713	2698
16424	445725	704	723
16428	391626	689	937
16513	52037	683	824
16457	148193	679	870
16453	317538	666	352
16493	76116	651	480
16567	29789	648	249
16341	74139	643	1288
16415	517646	639	828
16440	363962	619	82
16444	357853	607	133
151	7040	593	318
16411	521257	582	676
16432	381652	581	126
16481	126284	575	244
2488	11943	566	2
16484	122759	549	290
16195	11239	548	831
16011	13686	542	226
16071	13458	535	785
16054	12839	533	809
16434	378329	511	127
16367	68720	503	723
16442	361547	498	240
16379	355542	494	2379
16452	323660	489	176
16431	383930	481	281
16422	458355	481	390
16417	521739	480	946
16307	44408	475	569
16501	69371	474	427
16413	520449	472	592
16362	67975	465	604
16414	519052	459	662
16378	349912	457	2579
305	5296	438	147
16446	354270	428	154
16416	519987	420	428
16482	125957	408	165
16421	461703	407	411
16365	68239	406	484
16462	140586	405	165
16439	366999	395	131
16499	69826	392	343
16420	470067	386	190
16430	385111	378	135
16206	12810	373	179
16324	67810	366	746
16437	370871	361	144
524	8036	361	65
16551	34256	356	124
16407	514028	351	1148
16410	519434	345	917
16076	13617	343	500
16487	76844	342	217
125	7079	336	120
16566	30189	330	147
16361	68090	327	215
16448	349911	326	93
99	7591	324	150
16474	128557	318	163
35	13887	318	15
16511	52303	318	552
16456	147620	315	307
16463	140170	311	184
16536	36405	311	172
16204	12359	307	315
16525	52210	305	198
16469	138135	302	296
16408	516997	299	489
16405	513565	298	360
16445	355849	293	82
16295	38033	292	308
16351	71423	289	743
15964	14387	283	138
16389	410167	281	2141
16476	128258	272	85
16418	522603	268	659
514	7909	261	26
16026	13081	260	163
65	8219	255	59
74	7515	251	34
16441	362443	250	71
16477	128326	249	99
16397	489321	241	1827
16443	359129	238	107
16468	138491	231	123
16467	139015	230	284
16465	139046	225	232
16376	342278	222	3272
56	11789	221	21
16391	414848	220	907
16395	484382	219	1833
16346	73613	216	132
16392	418210	212	3570
16184	9426	209	286
16390	412316	208	1499
16377	345674	208	2557
16438	368436	208	174
16258	23648	206	292
16486	77057	205	148
16343	73941	205	600
