position	coverage	clip_count	SA
16569	424462	417737	26682
13095	708018	286915	21877
1	313651	268207	13053
6073	627028	255782	31286
3571	596848	98319	0
301	612887	97366	0
296	762795	62466	0
10934	286649	55457	0
13753	836832	52737	0
13760	704437	48309	0
299	699738	45827	0
300	647740	41785	0
3564	710031	38516	0
3108	1023057	38096	0
311	565412	20940	1
573	808505	20703	1
315	550086	19291	0
3563	753811	18997	0
302	515556	17388	0
16181	867731	16041	0
16223	772947	15496	0
537	949660	14014	1
13749	1035326	13489	0
13751	908446	12969	0
13752	870608	12857	0
922	1282072	12726	0
13754	772024	12684	0
15073	1229603	12482	0
15055	1205118	12096	0
3216	1296756	11995	1
855	987624	11846	0
1439	1152902	11564	0
563	864424	11001	0
2521	1395588	10850	0
15754	1279335	10816	0
3270	1558348	10320	0
15037	1265034	10309	0
15905	1014260	10178	0
13322	1338694	10121	0
4599	1190313	10097	0
13391	1103504	10094	0
15412	1398665	10058	0
15837	913766	9879	0
560	849124	9727	0
3479	1458123	9444	0
15481	1176546	9343	0
576	829555	9314	0
3285	1189622	9302	0
584	892675	9257	0
15687	1153395	9180	0
544	908421	9157	0
13755	738532	9074	0
14676	1092061	9066	0
13160	1341911	9018	0
5203	1117116	8841	1
2231	1184839	8789	0
4099	1314654	8733	0
3431	1049395	8717	0
3370	1219571	8698	0
15595	1183498	8636	0
13759	709599	8618	0
5088	484394	8594	0
835	904686	8504	0
438	1076386	8418	0
971	1115351	8395	0
15574	1328063	8258	0
3565	655304	8245	0
5135	1125954	8224	0
766	1352544	8223	0
3582	642409	8177	1
666	1053420	8169	1
582	869059	8065	0
15468	1081003	8062	0
3441	1231056	8030	0
15075	1175487	7994	0
473	967484	7993	0
13623	1328771	7957	0
14521	877030	7956	1
2627	1165005	7913	0
3303	1091421	7860	0
15420	1417609	7830	0
599	981849	7814	0
16216	828422	7778	0
14589	956749	7736	0
2077	1090336	7693	0
1188	1261345	7686	0
5157	1360126	7569	0
4836	1390349	7473	0
15535	1245464	7473	0
13633	1327020	7436	0
