gene	cpm_P1	cpm_P2	cpm_C1	P1_C1_log2FC	P1_C1_pvalue	P1_C1_padj	P2_C1_log2FC	P2_C1_pvalue	P2_C1_padj
AL669831.5	4.3	3.9	2.9	0.12	0.06168	0.1155	0.1	0.1166	0.1828
LINC00115	2.2	1.6	3.4	-0.11	0.07027	0.1288	-0.16	0.00553	0.01275
AL645608.1	2.1	0.7	7	-0.42	2.506e-09	1.641e-08	-0.56	1.419e-18	1.398e-17
SAMD11	10.2	6.7	64.9	-1.78	5.272e-118	5.935e-116	-2	2.466e-156	3.106e-154
NOC2L	38.5	40.5	40.3	-0.05	0.4429	0.567	0.05	0.4143	0.5152
KLHL17	2.7	2.8	3.3	-0.06	0.3783	0.5041	-0.03	0.5925	0.6817
PLEKHN1	1.5	1	3.6	-0.2	0.0009103	0.002814	-0.25	5.549e-06	2.064e-05
HES4	4.5	35.4	21.7	-1.01	2.326e-35	5.574e-34	0.54	2.623e-14	2.03e-13
ISG15	21	29.9	47.5	-0.84	1.182e-31	2.522e-30	-0.46	4.678e-12	3.096e-11
AGRN	13.3	14.1	10.4	0.16	0.03263	0.06742	0.24	0.001398	0.003649
C1orf159	6.8	5.1	5.9	0.07	0.3508	0.4746	-0.04	0.523	0.6189
SDF4	234.4	188.3	202.8	0.19	5.038e-06	2.271e-05	-0.05	0.2175	0.3063
B3GALT6	20	23.8	14.3	0.28	0.0003675	0.001231	0.47	1.386e-10	8.174e-10
UBE2J2	67.2	70.8	77.7	-0.18	0.002523	0.007051	-0.07	0.2506	0.3443
ACAP3	14.6	13.8	20.4	-0.28	0.0002966	0.001011	-0.29	0.0001236	0.0003807
PUSL1	19.9	18.7	23.3	-0.15	0.05432	0.1039	-0.17	0.02462	0.04796
INTS11	27.7	28	33.3	-0.19	0.007918	0.01951	-0.14	0.04606	0.08289
CPTP	32.7	34.2	32.4	0.01	0.9286	0.9543	0.1	0.1351	0.2064
DVL1	26.6	33.1	29.8	-0.11	0.1193	0.2005	0.15	0.02461	0.04794
MXRA8	172.4	177.5	282.4	-0.68	1.599e-48	5.324e-47	-0.58	1.045e-41	2.311e-40
AURKAIP1	486.1	443.7	562.5	-0.22	7.458e-13	6.616e-12	-0.29	6.735e-22	7.67e-21
CCNL2	35.6	41.9	32.7	0.09	0.2095	0.3181	0.31	1.742e-06	6.886e-06
MRPL20	237.7	247.5	246.5	-0.06	0.1485	0.2403	0.06	0.137	0.2089
ANKRD65	1.1	1.3	2.5	-0.15	0.005061	0.01309	-0.12	0.03023	0.05734
VWA1	1.8	1.3	1.3	0.05	0.2879	0.408	0.01	0.8815	0.9137
ATAD3B	17.2	15.5	20.9	-0.18	0.02313	0.05016	-0.23	0.002712	0.00665
ATAD3A	37.4	27.4	45.5	-0.22	0.0009867	0.003033	-0.5	1.143e-13	8.481e-13
SSU72	316.4	313	328.3	-0.06	0.07873	0.1419	-0.02	0.7269	0.7941
FNDC10	4.4	4	2.4	0.18	0.00418	0.01107	0.17	0.006964	0.01565
AL691432.2	3.2	1.7	3.3	-0.02	0.8108	0.8724	-0.15	0.01136	0.0243
MIB2	18.7	17.3	17	0.07	0.328	0.4511	0.05	0.5062	0.6039
MMP23B	0.4	6.9	0.5	-0.02	0.5408	0.6576	0.59	1.241e-24	1.583e-23
CDK11B	11.2	9.8	16.2	-0.28	0.0004703	0.001543	-0.34	1.029e-05	3.692e-05
SLC35E2B	11.1	6	11.9	-0.05	0.5519	0.6671	-0.38	6.88e-07	2.861e-06
CDK11A	9.3	8.2	13.5	-0.25	0.001284	0.003857	-0.3	7.812e-05	0.0002476
SLC35E2A	6.5	9.9	5.8	0.06	0.4464	0.5706	0.32	1.072e-05	3.833e-05
NADK	28.9	32.7	30	-0.04	0.5722	0.6852	0.13	0.05515	0.09672
GNB1	200.5	219.6	213	-0.1	0.03339	0.06877	0.09	0.03341	0.06262
TMEM52	0.5	0.7	4	-0.35	3.143e-10	2.219e-09	-0.33	2.566e-09	1.371e-08
PRKCZ	0.2	0.5	2.6	-0.25	3.27e-08	1.926e-07	-0.22	4.872e-06	1.83e-05
FAAP20	283.1	277.4	276.1	0.03	0.4697	0.5908	0.05	0.1481	0.2228
SKI	45	48.8	47.9	-0.08	0.258	0.3746	0.06	0.3002	0.3975
MORN1	2.7	2.4	3.3	-0.06	0.3382	0.4624	-0.08	0.1917	0.2762
RER1	156.9	187.2	205.5	-0.37	1.778e-16	1.994e-15	-0.08	0.05395	0.09494
PEX10	34.6	36.5	35.9	-0.04	0.5344	0.652	0.06	0.3518	0.4518
PANK4	3.4	4.1	3.3	0.01	0.8664	0.9127	0.08	0.184	0.267
AL139246.5	1.4	1.6	0.7	0.08	0.04207	0.08364	0.1	0.01173	0.025
TNFRSF14	7.2	6.2	6.8	0.03	0.7227	0.8069	-0.02	0.7624	0.8224
FAM213B	17.5	15.9	20.3	-0.13	0.09532	0.1662	-0.18	0.01939	0.03872
PRDM16	8.5	5.9	1.2	0.62	2.734e-21	3.852e-20	0.45	9.358e-14	6.994e-13
MEGF6	8.2	6.7	11.9	-0.24	0.003111	0.008493	-0.32	2.774e-05	9.364e-05
TPRG1L	27.9	34.9	25.1	0.1	0.1809	0.2822	0.37	4.293e-08	2.037e-07
WRAP73	10.2	8.8	10.2	0	0.9678	0.9798	-0.07	0.386	0.4864
SMIM1	0.6	0.6	1.7	-0.12	0.00503	0.01302	-0.12	0.004664	0.01092
LRRC47	22.1	23.3	27.6	-0.22	0.004017	0.0107	-0.13	0.07484	0.1257
CEP104	35.1	33	37.3	-0.07	0.3213	0.4442	-0.09	0.2054	0.2924
DFFB	3.3	2.5	4	-0.06	0.3266	0.4497	-0.12	0.05417	0.09529
C1orf174	26.6	28.5	30.6	-0.14	0.04948	0.09603	-0.03	0.6569	0.7379
NPHP4	2.6	3	4	-0.13	0.04087	0.08154	-0.08	0.2286	0.3196
KCNAB2	5.4	3.8	3.5	0.15	0.02446	0.05258	0.04	0.5766	0.6683
RPL22	1151.4	1111.7	1044.8	0.13	2.171e-08	1.302e-07	0.13	6.475e-09	3.328e-08
RNF207	1.8	2.1	3.3	-0.14	0.01951	0.0433	-0.1	0.09552	0.1544
ICMT	102.9	87.8	95.1	0.09	0.1028	0.1771	-0.06	0.3057	0.4038
GPR153	0.9	1.2	1.8	-0.1	0.02877	0.06055	-0.06	0.2295	0.3206
ACOT7	32.7	37.3	29.2	0.11	0.1182	0.1988	0.3	8.31e-06	3.023e-05
TNFRSF25	3.1	4.8	1.2	0.18	0.0006215	0.001995	0.35	1.061e-09	5.835e-09
PLEKHG5	12.8	17.6	6.8	0.39	4.158e-07	2.158e-06	0.67	1.925e-19	1.964e-18
NOL9	20.1	22.9	26.6	-0.27	0.0004933	0.001612	-0.11	0.1373	0.2094
ZBTB48	5.6	4.3	4.6	0.08	0.2629	0.3795	-0.01	0.8832	0.9151
KLHL21	21.8	30.4	15.6	0.28	0.0002156	0.0007532	0.65	1.133e-19	1.167e-18
PHF13	12.1	15	13.2	-0.07	0.4111	0.5359	0.13	0.07669	0.1283
THAP3	9.7	9.7	13.4	-0.23	0.004657	0.01218	-0.2	0.01086	0.02333
DNAJC11	23.5	23.1	20.9	0.1	0.1771	0.2778	0.13	0.07811	0.1303
CAMTA1	165.7	152.3	190.3	-0.19	1.547e-05	6.473e-05	-0.25	1.332e-08	6.646e-08
VAMP3	106.4	102.8	98.4	0.1	0.07539	0.1366	0.1	0.04794	0.08577
PER3	9.2	6.7	15.2	-0.36	8.293e-06	3.62e-05	-0.52	2.961e-11	1.851e-10
PARK7	353	362.3	391.2	-0.15	5.469e-06	2.452e-05	-0.06	0.05976	0.1037
